0.3,2.3,72,13.899999999999977,24.799999999999955,0.0,0.0,-0.6
-0.1,1.3,73,13.700000000000045,24.59999999999991,0.0,0.0,-1.2
-0.5,0.8,74,13.600000000000023,24.5,7.0,7.0,-1.7
-1.2,1.5,77,13.5,24.40000000000009,6.0,6.0,-2.7
-1.1,1.7,74,13.399999999999977,24.299999999999955,8.0,8.0,-2.4
-1.4,2.1,75,13.299999999999955,24.200000000000045,8.0,8.0,-2.1
-1.8,1.4,74,13.299999999999955,24.299999999999955,8.0,8.0,-2.8
-1.6,0.7,73,13.200000000000045,24.09999999999991,9.0,9.0,-2.2
-1.4,0.7,71,13.700000000000045,24.59999999999991,9.0,9.0,-1.8
-1.6,2.5,69,14.100000000000023,25.09999999999991,9.0,9.0,-0.7
-1.2,3.1,65,13.600000000000023,24.5,7.0,7.0,-0.1
-1.1,4.2,60,12.700000000000045,23.600000000000023,8.0,8.0,0.3
-0.9,5.6,61,11.799999999999955,22.700000000000045,7.0,7.0,0.8
-1.1,5.1,49,11.200000000000045,22.100000000000023,9.0,9.0,1.7
-2.0,5.8,52,11.799999999999955,22.799999999999955,6.0,6.0,0.1
-1.7,4.8,45,12.5,23.399999999999977,7.0,7.0,0.3
-3.3,6.6,48,13.100000000000023,24.09999999999991,6.0,6.0,0.0
-4.5,5.1,51,14.100000000000023,25.200000000000045,3.0,3.0,-1.2
-5.3,4.8,58,15.100000000000023,26.200000000000045,0.0,0.0,-2.5
-6.1,3.6,62,15.899999999999977,27.09999999999991,0.0,0.0,-3.6
-6.3,2.4,65,15.899999999999977,27.09999999999991,0.0,0.0,-4.4
-6.6,2.1,67,15.899999999999977,27.09999999999991,0.0,0.0,-5.0
-6.6,2.7,68,15.600000000000023,26.799999999999955,0.0,0.0,-5.5
-6.8,2.5,68,15.5,26.700000000000045,0.0,0.0,-5.9
-7.0,1.0,71,15.600000000000023,26.799999999999955,0.0,0.0,-6.2
-7.3,2.6,72,16.399999999999977,27.59999999999991,0.0,0.0,-6.5
-7.2,2.4,74,16.899999999999977,28.09999999999991,0.0,0.0,-6.8
-7.6,1.1,76,16.600000000000023,27.799999999999955,0.0,0.0,-7.0
-7.7,1.5,76,16.600000000000023,27.799999999999955,0.0,0.0,-7.3
-7.8,1.1,76,16.700000000000045,28.0,0.0,0.0,-7.5
-8.1,1.5,78,16.5,27.799999999999955,0.0,0.0,-7.6
-8.3,2.0,80,16.600000000000023,27.90000000000009,0.0,0.0,-7.6
-7.3,3.2,75,16.799999999999955,28.0,0.0,0.0,-6.6
-5.7,2.4,68,17.5,28.700000000000045,3.0,1.0,-4.5
-3.9,1.5,63,17.200000000000045,28.299999999999955,4.0,1.0,-1.7
-2.9,1.6,56,16.899999999999977,27.90000000000009,5.0,3.0,0.1
-2.1,1.6,53,16.100000000000023,27.09999999999991,6.0,4.0,1.2
-1.2,1.5,48,14.700000000000045,25.59999999999991,2.0,2.0,0.9
-1.7,3.5,53,14.5,25.5,5.0,3.0,0.7
-2.1,3.9,55,15.0,26.0,8.0,5.0,0.0
-2.4,3.5,57,14.799999999999955,25.799999999999955,7.0,4.0,-0.1
-2.7,3.6,59,14.899999999999977,25.90000000000009,7.0,4.0,-0.7
-2.9,3.0,61,14.799999999999955,25.799999999999955,0.0,0.0,-1.3
-3.7,2.3,64,14.700000000000045,25.799999999999955,0.0,0.0,-2.7
-4.0,2.3,68,14.5,25.59999999999991,3.0,3.0,-3.6
-4.3,4.0,67,14.600000000000023,25.700000000000045,0.0,0.0,-4.1
-4.7,2.5,67,14.299999999999955,25.40000000000009,0.0,0.0,-4.6
-5.2,1.5,71,14.100000000000023,25.200000000000045,3.0,3.0,-5.4
-5.4,0.8,67,13.899999999999977,25.0,0.0,0.0,-5.7
-5.5,1.1,70,13.799999999999955,24.90000000000009,0.0,0.0,-6.1
-5.9,1.3,73,13.899999999999977,25.0,3.0,0.0,-6.4
-6.2,1.1,72,13.5,24.59999999999991,3.0,0.0,-6.6
-6.3,0.2,76,13.200000000000045,24.299999999999955,7.0,1.0,-6.9
-6.4,1.6,75,12.5,23.600000000000023,7.0,3.0,-6.4
-6.4,1.1,76,12.5,23.600000000000023,7.0,3.0,-6.9
-6.6,2.8,80,12.799999999999955,24.0,8.0,4.0,-7.0
-5.9,2.6,76,12.899999999999977,24.0,8.0,4.0,-5.4
-4.7,3.6,71,12.399999999999977,23.5,8.0,4.0,-3.3
-3.2,2.6,62,11.200000000000045,22.200000000000045,7.0,4.0,-1.3
-1.2,2.3,51,9.700000000000045,20.600000000000023,7.0,4.0,0.4
-0.4,2.1,45,8.100000000000023,18.899999999999977,10.0,6.0,1.0
-0.6,1.6,50,7.600000000000023,18.399999999999977,10.0,7.0,1.1
-0.9,2.5,61,7.7000000000000455,18.600000000000023,10.0,6.0,0.1
-2.0,3.2,83,7.899999999999977,18.799999999999955,10.0,7.0,0.0
-3.6,4.1,86,8.799999999999955,19.799999999999955,10.0,7.0,-0.2
-3.8,3.8,81,9.600000000000023,20.600000000000023,10.0,6.0,-0.7
-4.2,5.1,70,10.100000000000023,21.100000000000023,8.0,8.0,-1.3
-5.2,4.1,63,10.700000000000045,21.799999999999955,0.0,0.0,-2.2
-5.6,3.7,67,10.899999999999977,22.0,9.0,9.0,-2.4
-6.1,3.7,64,11.100000000000023,22.200000000000045,10.0,8.0,-2.8
-6.3,2.9,58,11.100000000000023,22.200000000000045,6.0,6.0,-3.8
-6.6,3.5,62,10.899999999999977,22.0,6.0,6.0,-4.3
